WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC1.001	ISKS1RC1	IG.ISKS1RC1.001	1	ARCHAEOLOGY	 Annual Report of the Mysore Archaeological Depart.Report 1945. 			1945					Engilsh	Eng/Kannada		Ptd.Paper	4.17X5.33	40	66	C		Govt. of Mysore			Good	188			Govt. of Mysore	Govt.of Mysore	1945				
W.ISKS1RC2.001	ISKS1RC2	IG.ISKS1RC2.001	2	ARCHAEOLOGY	Architecture and sculpture in  Mysore No.III		P. Narasimhachar	1919					English	English		Ptd.Paper	4.48X7.23	36	61	C		Govt. of Mysore			Good	50			Govt. of Mysore	Maharaja of Mysore	1919				
W.ISKS1RC3.001	ISKS1RC3	IG.ISKS1RC3.001	3	ARCHAEOLOGY	Travancore Archaeologial Series Vol.3 Part-1		K.V.Subrahmanya Aiyar	1921					English	Eng/Tamil		Ptd.Paper	6.94X9.73	49	69	C		Govt. of Travancore			Good	300			Govt. of Travancore.	Govt. of Travancore	1921				
W.ISKS1RC4.001	ISKS1RC4	IG.ISKS1RC4.001	4	ARCHAEOLOGY	Travancore Archaeological series Vol.5 Part .1		A.S.Ramanatha Ayyar	1924					English	Eng/Tamil		Ptd.Paper	7.15 X10	45	69	C		Govt. of Travancore			Good	285			Govt. of Travancore.	Govt. of Travancore	1924				
W.ISKS1RC5.001	ISKS1RC5	IG.ISKS1RC5.001	5	ARCHAEOLOGY	Trvancore Archaeological series		A.S.Ramanatha Ayyar	1924					English	Eng/Tamil		Ptd.Paper	7.15 X10	47	67	C		Govt. of Travancore			Good	284			Govt. of Travancore.	Govt. of Travancore	1924				
W.ISKS1RC6.001	ISKS1RC6	IG.ISKS1RC6.001	6	ARCHAEOLOGY	Trvancore Archaeological series vol. v part 1		A.S.Ramanatha Ayyar	1924					English	Eng/Tamil		Ptd.Paper	7.15 X10	47	67	C		Govt. of Travancore			Good	285			Govt. of Travancore.	Govt. of Travancore	1925				
W.ISKS1RC7.001	ISKS1RC7	IG.ISKS1RC7.001	7	ARCHITECTURE	Mayamatam		Mayamuni	1919				T.Ganapati Sastri	Sanskrit	Devanagari		Ptd.Paper	8.26X11	21	19	C		Govt. of Travancore			Good	334			Govt. of Travancore.	Govt. of Travancore	1919				
W.ISKS1RC8.001	ISKS1RC8	IG.ISKS1RC8.001	8	ARCHITECTURE	Ratnatraya pariksa		?	?					Sanskrit	Devanagari		Ptd.Paper	12X7.16	18	49	C		Unknown			Good	28			Govt. of Travancore.	Marthanda Dikshit Budloker 	   Nil				
W.ISKS1RC9.001	ISKS1RC9	IG.ISKS1RC9.001	9	ARCHITECTURE	Amsumadbhedah		Kasyapieyah	  Unknown					Sanskrit	Devanagari	MGOML	Paper MSS	4X6	20	20	C	MGOML Madras	Govt. Oriental Manuscript Library ,Madras	MGOML, Madras	MGOML,Madras	Good	218		R.3185,MGOML	Govt. Oriental Manuscript Library ,Madras	    Nil	   Nil				
W.ISKS1RC10.001	ISKS1RC10	IG.ISKS1RC10.001	10	ARCHITECTURE	Grhanirmanadi		Sundaradiksitar	  Unknown					Sanskrit	Devanagari	Tirunelveli	Paper MSS	4X6.48	20	18	C	Unknown	Tirunelveli	Tirunelveli	No.11,Sundara Diksitar,Tirunelveli	Good	46		No.11,Tirunelveli	No.11 Sundara Diksitr, Tirunelveli	    Nil	   Nil				
W.ISKS1RC11.001	ISKS1RC11	IG.ISKS1RC11.001	11	ARCHITECTURE	Kulasastram 		Unknown	  Unknown					Sanskrit	Devanagari		Paper MSS	3.82X6.10	20	21	C	Unknown	Unknown	Unknown	Unknown	Good	72		Aruppukkottai	Unknown	    Nil	   Nil				
W.ISKS1RC12.001	ISKS1RC12	IG.ISKS1RC12.001	12	ARCHITECTURE	Sila sampadanakramah 		Unknown	  Unknown					Sanskrit	Devanagari	MGOML	Paper MSS	3.82X6.10	20	20	C	MGOML Chennai	Govt. Oriental Manuscript Library ,Madras	MGOML, Madras	MGOML, Madras	Good	28		Unknown	MGOML, Madras	    Nil	   Nil				
W.ISKS1RC13.001	ISKS1RC13	IG.ISKS1RC13.001	13	ARCHITECTURE	Baudhayana vihara karika		Unknown	  Unknown					Sanskrit	Devanagari	Sri Vasudeva Nilakantha Joglekar Gokaran	Paper MSS	21.72X8.68	8	33	C	Gokaran, North Karnataka	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Sri VasudevNilakantha Joglekar	Sri Vasudeva Nilakantha Joglekar	Good	12		Unknown	Sri Vasudeva Nilakantha Joglekar	    Nil	   Nil				
