WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC5736.001	ISKS1RC5736	IG.ISKS1RC5736.001	5736	YOGA  / SANKHYA	Guru Namaskar		Tiruka	1980					Sanskrit/English	Devanagari/Roman		Paper 	4X6.65			C					Good	111				"Anathsasevashram Trust, Malladihalli"					
W.ISKS1RC5737.001	ISKS1RC5737	IG.ISKS1RC5737.001	5737	YOGA  / SANKHYA	Gyana Yoga		Swami Sivananda						Sanskrit/English	Devanagari/Roman		Paper 	4.56X7.47			C					Good	273				"Swami Vishuddhananda,The Sivanada Publication League,Rikhikesh"					
W.ISKS1RC5738.001	ISKS1RC5738	IG.ISKS1RC5738.001	5738	YOGA  / SANKHYA	Hatha Yog for all		Rajeswari Raman	1979					English	Roman		Paper 	4.38x6.95			C					Good	146				"Rajeswari Raman, P.N.Kamat, IBH Prakashana,Bangalore-9"					
W.ISKS1RC5739.001	ISKS1RC5739	IG.ISKS1RC5739.001	5739	YOGA  / SANKHYA	Hatha Yog in its Mooda Multivarious		Morris Krok	1959					English	Roman		Paper 	5X8			C					Good	95				"Essence of Health Publishing Co.,South Africa"					
W.ISKS1RC5740.001	ISKS1RC5740	IG.ISKS1RC5740.001	5740	YOGA  / SANKHYA	Hatha Yoga Manual I		Samskrti and Veda	1977					English	Roman		Paper 	7.41X10.24			C					Good	150				The Himalayan International Institute of Yoga Science & Philosophy					
W.ISKS1RC5741.001	ISKS1RC5741	IG.ISKS1RC5741.001	5741	YOGA  / SANKHYA	Hatha Yoga or The Yogi Philosophy of Physical Well-Being		Yogi Ramacharaka	1966					English	Roman		Paper 	4.24x6.97			C					Good	249				D.B.Taraporevala Sons & Co. Pvt.Ltd.					
W.ISKS1RC5742.001	ISKS1RC5742	IG.ISKS1RC5742.001	5742	YOGA  / SANKHYA	Hatha Yoga Practice Manual		Yogi Santi Desi	1978					English	Roman		Paper 	7.68X10.68			C					Good	72				Shanti Yogi Institute					
W.ISKS1RC5743.001	ISKS1RC5743	IG.ISKS1RC5743.001	5743	YOGA  / SANKHYA	Hatha yoga Yogic Exercises for Men and  Women		Swami Sivnanda	1939					English	Roman		Paper 	5.12X6.92			C					Good	242				"The Yoga Vedanta Firest University Divine Life Society,Rishikesh"					
W.ISKS1RC5744.001	ISKS1RC5744	IG.ISKS1RC5744.001	5744	YOGA  / SANKHYA	Hatha Pradipika (Hindi -Sanskaran)		Swathma Ram	1980					Sanskrit	Devanagari		Paper 	5X8.40			C					Good	287				Kaivalyadhama  sri Manmadhav Yogamandir smithi					
W.ISKS1RC8207.001	ISKS1RC8207	IG.ISKS1RC8207.001	8207	60	Grahalaghava								Sanskrit	Devanagiri				12	25						Good	42									
W.ISKS1RC8208.001	ISKS1RC8208	IG.ISKS1RC8208.001	8208	61			Bhaskar						Sanskrit	Devanagiri				12	32						Poor	74									
W.ISKS1RC8209.001	ISKS1RC8209	IG.ISKS1RC8209.001	8209	62	Jatakamarana								Sanskrit	Devanagiri				7	33						Good	154									
W.ISKS1RC8210.001	ISKS1RC8210	IG.ISKS1RC8210.001	8210	63	Jyothisha sloga								Sanskrit	Devanagiri				9	17-19						Good	30									
W.ISKS1RC8211.001	ISKS1RC8211	IG.ISKS1RC8211.001	8211	64	Grahusutram		Ramavendra Bhatt						Sanskrit	Devanagiri				6	21-23						Good	40									
