WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC1418.001	ISKS1RC1418	IG.ISKS1RC1418.001	1418	TARKA	Tarkasangraha																														
W.ISKS1RC2107.001	ISKS1RC2107	IG.ISKS1RC2107.001	2107	TARKA	Anumanadidhiti Prasarini		Kriahna Das sarvabhauma	1912		Pandit prasana kumar tarknidhi			Sanskrit	Devanagari		Paper	5.87X10.52			C	The university of Toronto Library	Toronto			Good	103				The Asiatic society of Bengal	1912	First			
W.ISKS1RC2108.001	ISKS1RC2108	IG.ISKS1RC2108.001	2108	TARKA	Anumanadidhiti Prasarini 1		Kriahna Das sarvabhauma	1912		Pandit prasana kumar tarknidhi			Sanskrit	Devanagari		Paper	5.87X10.52			C		Toronto			Good	103				The Asiatic society of Bengal	1912	First			
W.ISKS1RC2109.001	ISKS1RC2109	IG.ISKS1RC2109.001	2109	TARKA	Bharatiya Tarka Sastram			2007					Sanskrit			Paper	6X8.26			C					Good	160					2007	First			
W.ISKS1RC2110.001	ISKS1RC2110	IG.ISKS1RC2110.001	2110	TARKA	Bhattacintamani Tarkapadah		Sri Gangabhatta	1957					Sanskrit	Devanagari		Paper	4.87X8.14			C	The university of Toronto Library				Good	178				Babuharidasa gupta	1957	First			
W.ISKS1RC2111.001	ISKS1RC2111	IG.ISKS1RC2111.001	2111	TARKA	Tarka Bhasa		Kesavamisra	1914				Poul Tuxen	Sanskrit/English	Roman		Paper	7.61X9.95			C		Toronto			Good	72				"Hovedkommissionaer : Andr, Fred, Host & Son."	1914	First			
W.ISKS1RC2112.001	ISKS1RC2112	IG.ISKS1RC2112.001	2112	TARKA	Tarka Sangraha								Sanskrit			Paper	3.8X5			C					Good	38									
W.ISKS1RC2113.001	ISKS1RC2113	IG.ISKS1RC2113.001	2113	TARKA	Tarkabhasa 		Kesavamisra	1851			Tarka-Sangraha	Annam Bhatta	Sanskrit/English	Devanagari/Roman		Paper	5X7.98			C					Good	572					1851	First			
W.ISKS1RC2114.001	ISKS1RC2114	IG.ISKS1RC2114.001	2114	TARKA	Tarkabhasa  1		Kesavamisra	1914				Poul Tuxen	Sanskrit/English	Roman		Paper	7.61X9.95			C					Good	72									
W.ISKS1RC2115.001	ISKS1RC2115	IG.ISKS1RC2115.001	2115	TARKA	Tarkasangraha			1939			"Nyayabodhini,Nirukti,Padakritya,Dipikaprakasa,Varyarthabodhini,and Bhashaparichcheda"		Sanskrit	Devanagari		Paper	12.5X18.16			C					Good	228				V.Ramswamy Satrulu & Sons  Madras	1939	First			
W.ISKS1RC2116.001	ISKS1RC2116	IG.ISKS1RC2116.001	2116	TARKA	Tarkasangraha 		Annam Bhatta	1876				Annam Bhatta	Sanskrit/English	Devanagari/Roman		Paper	4.22X7.61			C					Good	60				The  Nirnayasagara Press Bombay	1876	First			
W.ISKS1RC2117.001	ISKS1RC2117	IG.ISKS1RC2117.001	2117	TARKA	The Karikavali		Vishwanatha Panchanana Bhatta 	1934			Siddhanta Muktavali	MahadevGangadhar shastri Bakre	Sanskrit	Devanagari		Paper	3.8X7.18			C					Good	98				The  Nirnayasagara Press Bombay	1934	Eighth			
W.ISKS1RC2118.001	ISKS1RC2118	IG.ISKS1RC2118.001	2118	TARKA	The Tarka Sangraha		Annam Bhatta	1851			Tarka-Sangraha	Annam Bhatta	Sanskrit/English	Devanagari/Roman		Paper	5X7.98			C	S.V.O. College Library				Good	572					1851	First			
W.ISKS1RC2119.001	ISKS1RC2119	IG.ISKS1RC2119.001	2119	TARKA	Thesis On Tarka Sastra		P.B.Annangarachari(Siromani)	1934					Sanskrit	Devanagari		Paper	5.61X8.498			C		"Tirupati, Andrapradesh"			Good	102					1934	First			
W.ISKS1RC2120.001	ISKS1RC2120	IG.ISKS1RC2120.001	2120	TARKA	.Vadarth Samgraha  2nd Part		Mahadeva Gangadhara Bakre	1914					Sanskrit	Devanagari		Paper	4X8.24			C					Good	77				THE Gujarati Printing Press  Bombay	1914	First			
W.ISKS1RC2121.001	ISKS1RC2121	IG.ISKS1RC2121.001	2121	TARKA	Vadarthasangrah		Mahadeva Gangadhara Bakre	1914					Sanskrit	Devanagari		Paper	4X8.26			C	University of Calicut				Good	163				THE Gujarati Printing Press  Bombay	1914	First			
