WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication	Year	Edition	ShelfNo	RowNo	Remarks
W.ISKS1RC2156.001	ISKS1RC2156	IG.ISKS1RC2156.001	2156	AYURVEDA	Visavaidyam								Sanskrit	Malayalam		Palm leaf	31.54X7.89	10		C	Kapra Mana				Good	209									
W.ISKS1RC2157.001	ISKS1RC2157	IG.ISKS1RC2157.001	2157	AYURVEDA	Yogarnava & Cikitsa								Sanskrit	Malayalam		Palm leaf	8.54X1.51	8		C	Puliyannur Tantri Mana.			Kapra Mana	Good	192									
W.ISKS1RC2158.001	ISKS1RC2158	IG.ISKS1RC2158.001	2158	AYURVEDA	Astangahrdaya Part								Sanskrit	Malayalam		Palm leaf	8.54X1.52	10		C	Kapra Mana			Puliyannur Tantri Mana	Good	221									
W.ISKS1RC2159.001	ISKS1RC2159	IG.ISKS1RC2159.001	2159	AYURVEDA	Cikitsa and Yogagrantha								Sanskrit	Malayalam		Palm leaf	12X2.7	8		C				Kapra Mana	Good	243									
W.ISKS1RC2160.001	ISKS1RC2160	IG.ISKS1RC2160.001	2160	AYURVEDA	Manusyalayacandrika								Sanskrit	Malayalam		Palm leaf	4.92X1.2	6		C					Good	188									
W.ISKS1RC2161.001	ISKS1RC2161	IG.ISKS1RC2161.001	2161	AYURVEDA	Mantravada grantha								Sanskrit	Malayalam		Palm leaf	4X1.14	6		C					Good	111									
W.ISKS1RC2162.001	ISKS1RC2162	IG.ISKS1RC2162.001	2162	AYURVEDA	Astangahrdayam								Sanskrit	Malayalam		Palm leaf	7.8X1.6	10		C	Kapra Mana				Good	102									
W.ISKS1RC2163.001	ISKS1RC2163	IG.ISKS1RC2163.001	2163	AYURVEDA	Astangahrdayam								Sanskrit	Malayalam		Palm leaf	7.82X1.56	10		C	Kapra Mana			Kapra Mana	Good	103									
W.ISKS1RC2164.001	ISKS1RC2164	IG.ISKS1RC2164.001	2164	AYURVEDA	Astangahrdayam contd varacikitsa								Sanskrit	Malayalam		Palm leaf	7.91X1.22	11		C				Kapra Mana	Good	232									
W.ISKS1RC2165.001	ISKS1RC2165	IG.ISKS1RC2165.001	2165	AYURVEDA	Astangahrdayam Sutrasthanam								Sanskrit	Malayalam		Palm leaf	8.31X1.68	9		C					Good	397									
W.ISKS1RC2166.001	ISKS1RC2166	IG.ISKS1RC2166.001	2166	AYURVEDA	Jvaracikitsa								Sanskrit	Malayalam		Palm leaf	7.91X1.22	11		C	Kapra Mana				Good	231									
W.ISKS1RC2167.001	ISKS1RC2167	IG.ISKS1RC2167.001	2167	AYURVEDA	Cikitsa and Yogagrantha								Sanskrit	Malayalam		Palm leaf	12X207	7		C	Puliyannur Tantri Mana.			Kapra Mana	Good	243									
W.ISKS1RC2168.001	ISKS1RC2168	IG.ISKS1RC2168.001	2168	AYURVEDA	Cikitsa								Sanskrit	Malayalam		Palm leaf	26.36X4.44	8		C	TPN Private Collection			Puliyannur Tantri Mana	Good	134									
W.ISKS1RC2169.001	ISKS1RC2169	IG.ISKS1RC2169.001	2169	AYURVEDA	Cikitsavidhi								Sanskrit	Malayalam		Palm leaf	5.89X1.04	9		C	Kapra Mana			TPN Private Collection	Good	325									
W.ISKS1RC2170.001	ISKS1RC2170	IG.ISKS1RC2170.001	2170	AYURVEDA	Cikitsavidhi								Sanskrit	Malayalam		Palm leaf	6.67X1.47	7		C	TPN Private Collection			Kapra Mana	Good	76									
W.ISKS1RC2171.001	ISKS1RC2171	IG.ISKS1RC2171.001	2171	AYURVEDA	Ayurvedic Medicines								Sanskrit	Malayalam		Palm leaf	3.98X0.80	8		C	Puliyannur Tantri Mana.			TPN Private Collection	Good	224									
W.ISKS1RC2172.001	ISKS1RC2172	IG.ISKS1RC2172.001	2172	AYURVEDA	Cikistsa and Mantravada								Sanskrit	Malayalam		Palm leaf	8.65X1.76	8		C	Aandaladi Mana			Puliyannur Tantri Mana	Good	265									
W.ISKS1RC2173.001	ISKS1RC2173	IG.ISKS1RC2173.001	2173	AYURVEDA	Cikistsa - Mantravada								Sanskrit	Malayalam		Palm leaf	26X8.63	9		C	Puliyannur Tantri Mana.			Andaladi Mana	Good	172									
W.ISKS1RC2174.001	ISKS1RC2174	IG.ISKS1RC2174.001	2174	AYURVEDA	Mantravada grantha								Sanskrit	Malayalam		Palm leaf	8.41X1.81	7		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	172									
W.ISKS1RC2175.001	ISKS1RC2175	IG.ISKS1RC2175.001	2175	AYURVEDA	Mantravada grantha								Sanskrit	Malayalam		Palm leaf	7X2	10		C				Puliyannur Tantri Mana	Good	323									
W.ISKS1RC2176.001	ISKS1RC2176	IG.ISKS1RC2176.001	2176	AYURVEDA	Yogagrantha								Sanskrit	Malayalam		Palm leaf	12X2.7	8		C					Good	243									
W.ISKS1RC2177.001	ISKS1RC2177	IG.ISKS1RC2177.001	2177	AYURVEDA	Mantra and Ayurveda								Sanskrit	Malayalam		Palm leaf	28.44X21.33	9		C	TPN Private Collection				Good	786									
W.ISKS1RC2178.001	ISKS1RC2178	IG.ISKS1RC2178.001	2178	AYURVEDA	Mantra								Sanskrit	Malayalam		Palm leaf	3.28X1.38	8		C				TPN Private Collection	Good	359									
W.ISKS1RC2179.001	ISKS1RC2179	IG.ISKS1RC2179.001	2179	AYURVEDA	Kapra Astangahrdayam								Sanskrit	Malayalam		Palm leaf	10X1.8	9		C	TPN Private Collection				Good	208									
W.ISKS1RC2180.001	ISKS1RC2180	IG.ISKS1RC2180.001	2180	AYURVEDA	Yantra & Mantra								Sanskrit	Malayalam		Palm leaf	3.58X0.8	8		C	Kapra Mana			TPN Private Collection	Good	121									
W.ISKS1RC2181.001	ISKS1RC2181	IG.ISKS1RC2181.001	2181	AYURVEDA	Vaidyam a1								Sanskrit	Malayalam		Palm leaf	6.67X2	8		C				Kapra Mana	Good	52									
W.ISKS1RC2182.001	ISKS1RC2182	IG.ISKS1RC2182.001	2182	AYURVEDA	Yantra a1								Sanskrit	Malayalam		Palm leaf	17.77X13.33	8		C	Puliyannur Tantri Mana.				Good	120									
W.ISKS1RC2183.001	ISKS1RC2183	IG.ISKS1RC2183.001	2183	AYURVEDA	Visavaidyam								Sanskrit	Malayalam		Palm leaf	32.44X7.89	10		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	209									
W.ISKS1RC2184.001	ISKS1RC2184	IG.ISKS1RC2184.001	2184	AYURVEDA	Visacikisa-Mantravada								Sanskrit	Malayalam		Palm leaf	23.22X			C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	460									
W.ISKS1RC2185.001	ISKS1RC2185	IG.ISKS1RC2185.001	2185	AYURVEDA	Astangahrdayam								Sanskrit	Malayalam		Palm leaf	10X1.8	10		C				Puliyannur Tantri Mana	Good	209									
W.ISKS1RC2186.001	ISKS1RC2186	IG.ISKS1RC2186.001	2186	AYURVEDA	Vaidyam								Sanskrit	Malayalam		Palm leaf	6.67X1.8	8		C					Good	75									
W.ISKS1RC2187.001	ISKS1RC2187	IG.ISKS1RC2187.001	2187	AYURVEDA	Vaidya Nidana Cikitsa								Sanskrit	Malayalam		Palm leaf	9.58X1.54	10		C	Kapra Mana			Kavapramaramarath Mana	Good	374									
W.ISKS1RC2188.001	ISKS1RC2188	IG.ISKS1RC2188.001	2188	AYURVEDA	Vaidya Visayam skt slokas								Sanskrit	Malayalam		Palm leaf	8X3.57	8		C				Kapra Mana	Good	394									
W.ISKS1RC2189.001	ISKS1RC2189	IG.ISKS1RC2189.001	2189	AYURVEDA	Vaidya								Sanskrit	Malayalam		Palm leaf	6.67X1.47	7		C					Good	75									
W.ISKS1RC2190.001	ISKS1RC2190	IG.ISKS1RC2190.001	2190	AYURVEDA	Mantravada								Sanskrit	Malayalam		Palm leaf	7X2	10		C					Good	322									
W.ISKS1RC2191.001	ISKS1RC2191	IG.ISKS1RC2191.001	2191	AYURVEDA	Mantravada								Sanskrit	Malayalam		Palm leaf	8.14X1.81	7		C					Good	90									
W.ISKS1RC2192.001	ISKS1RC2192	IG.ISKS1RC2192.001	2192	AYURVEDA	Mantravada								Sanskrit	Malayalam		Palm leaf	8.65X1.76	8		C					Good	266									
W.ISKS1RC2193.001	ISKS1RC2193	IG.ISKS1RC2193.001	2193	AYURVEDA	Yogarnava & Sarvasiddhanta sangraha								Sanskrit	Malayalam		Palm leaf	7.32X1.7	8		C					Good	192									
W.ISKS1RC2194.001	ISKS1RC2194	IG.ISKS1RC2194.001	2194	AYURVEDA	Mantrvada Grantha								Sanskrit	Malayalam		Palm leaf	10X1.13	6		C	Kapra Mana				Good	115									
W.ISKS1RC2195.001	ISKS1RC2195	IG.ISKS1RC2195.001	2195	AYURVEDA	Astangahrdayam Sutrasthanam a1								Sanskrit	Malayalam		Palm leaf	8.31X1.68	9		C				Kapra Mana	Good	398									
W.ISKS1RC2196.001	ISKS1RC2196	IG.ISKS1RC2196.001	2196	AYURVEDA	Ayu								Sanskrit	Malayalam		Palm leaf	17.77x13.33	8		C	Puliyannur Tantri Mana.				Good	223									
W.ISKS1RC2197.001	ISKS1RC2197	IG.ISKS1RC2197.001	2197	AYURVEDA	Ayurveda cikitsa								Sanskrit	Malayalam		Palm leaf	26.94X5.11	8		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	321									
W.ISKS1RC2198.001	ISKS1RC2198	IG.ISKS1RC2198.001	2198	AYURVEDA	Ayurveda cikitsa a1								Sanskrit	Malayalam		Palm leaf	27.15X4	9		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	433									
W.ISKS1RC2199.001	ISKS1RC2199	IG.ISKS1RC2199.001	2199	AYURVEDA	Mantravada & Sarirasatram								Sanskrit	Malayalam		Palm leaf	10X1.13	6		C	"Andaladi Mana, Marutur Pattambi."			Puliyannur Tantri Mana	Good	205									
W.ISKS1RC2200.001	ISKS1RC2200	IG.ISKS1RC2200.001	2200	AYURVEDA	Mandravada Andaladi								Sanskrit	Malayalam		Palm leaf	24.73X4.98	10		C	Puliyannur Tantri Mana.			"Andaladi Mana, Marutur Pattambi."	Good	87									
W.ISKS1RC2201.001	ISKS1RC2201	IG.ISKS1RC2201.001	2201	AYURVEDA	Mantravada Grantha								Sanskrit	Malayalam		Palm leaf	4X1.14	7		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	113									
W.ISKS1RC2202.001	ISKS1RC2202	IG.ISKS1RC2202.001	2202	AYURVEDA	Manusyalayacandrika & Vaidyaka								Sanskrit	Malayalam		Palm leaf	4.92X1.2	6		C	Puliyannur Tantri Mana.				Good	188									
W.ISKS1RC2203.001	ISKS1RC2203	IG.ISKS1RC2203.001	2203	AYURVEDA	Manusyalayacandrika & Vaidyaka								Sanskrit	Malayalam		Palm leaf	8.44X4.1	7		C	Puliyannur Tantri Mana.				Good	176									
W.ISKS1RC2204.001	ISKS1RC2204	IG.ISKS1RC2204.001	2204	AYURVEDA	Many yantra Works								Sanskrit	Malayalam		Palm leaf	24.40X4.15	9		C	Puliyannur Tantri Mana.			Puliyannur Tantri Mana	Good	299									
W.ISKS1RC2205.001	ISKS1RC2205	IG.ISKS1RC2205.001	2205	AYURVEDA	Nidana part of Ayurveda								Sanskrit	Malayalam		Palm leaf	23.77X4.19	10		C				Puliyannur Tantri Mana	Good	387									
W.ISKS1RC2206.001	ISKS1RC2206	IG.ISKS1RC2206.001	2206	AYURVEDA	Sarvaroganidanam								Sanskrit	Malayalam		Palm leaf	7.78X1.61	8		C	Kapra Mana				Good	299									
W.ISKS1RC2207.001	ISKS1RC2207	IG.ISKS1RC2207.001	2207	AYURVEDA	Sarvaroganidanam								Sanskrit	Malayalam		Palm leaf	7.82X1.56	8		C	"Andaladi Mana, Marutur Pattambi."			Kapra Mana	Good	297									
W.ISKS1RC2208.001	ISKS1RC2208	IG.ISKS1RC2208.001	2208	AYURVEDA	Vaidyam Mantravadam								Sanskrit	Malayalam		Palm leaf	26.86X5.16	8		C				"Andaladi Mana, Marutur Pattambi."	Good	183									
